,,1
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,13900.000000000002
1,8,13900.000000000002
1,9,7000.000000000023
1,10,7000.000000000002
1,11,6999.999999999999
1,12,20552.17391304339
1,13,0.0
1,14,0.0
1,15,24769.565217391224
1,16,20900.0
1,17,7000.000000000002
1,18,-2318.4000000001834
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,13900.000000000002
2,8,13900.000000000004
2,9,7000.000000000024
2,10,7000.000000000002
2,11,7000.000000000002
2,12,20552.17391304339
2,13,0.0
2,14,0.0
2,15,24769.565217391224
2,16,20900.000000000004
2,17,7000.000000000001
2,18,-2318.400000000183
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,13900.000000000002
3,8,13899.999999999998
3,9,7000.000000000023
3,10,7000.000000000001
3,11,7000.000000000002
3,12,20552.17391304339
3,13,0.0
3,14,0.0
3,15,24769.565217391228
3,16,20900.000000000004
3,17,7000.0
3,18,-2318.400000000181
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
