,grid_import_ph1,grid_import_ph2,grid_import_ph3
1,935.402682,865.153715,943.1027300000001
2,1060.190925,985.185005,1065.270575
3,5457.519358333333,5392.323806333333,3342.30118933334
4,3851.516526333333,2927.6324823333325,6373.856715681128
5,0.0,0.0,6614.812629130406
6,6102.299727666665,1685.732621333333,0.0
7,423.30423500000006,906.380369,1102.9921490000002
8,1089.9954930000001,1132.2514939999999,1067.890491
9,1041.5509200000001,963.335452,1049.3069389999998
10,1178.156606,1094.6898780000001,1187.001551
11,5569.3133573333325,5533.451355333333,3572.9068863333405
12,4236.747081333333,3335.319297333333,6771.613864681127
13,0.0,0.0,6958.5289221304065
14,6477.138803666665,1978.8245143333327,0.0
15,569.214273,1027.305674,1227.7171360000002
16,1213.1939140000002,1260.389442,1188.954635
17,1147.6991580000001,1061.5171890000001,1155.511149
18,1296.1222870000001,1204.194751,1308.732526
19,5681.107356333333,5674.578905333332,3803.51258233334
20,4621.977635333333,3743.006113333333,7169.3710126811275
21,0.0,0.0,7302.245215130407
22,6851.977878666665,2271.9164073333322,0.0
23,715.1243099999999,1148.230979,1352.442123
24,1336.3923340000001,1388.52739,1310.01878
