dT,import_price,export_price
1,0.0000403,0.00008
1,0.0000331,0.00008
1,0.0000229,0.00008
1,0.00002,0.00008
1,0.0000142,0.00008
1,0.0000142,0.00008
1,0.0000218,0.00008
1,0.0000458,0.00008
1,0.0000656,0.00008
1,0.0000624,0.00008
1,0.0000499,0.00008
1,0.0000402,0.00008
1,0.0000324,0.00008
1,0.0000302,0.00008
1,0.000026,0.00008
1,0.00003,0.00008
1,0.000045,0.00008
1,0.0000617,0.00008
1,0.0000771,0.00008
1,0.0000797,0.00008
1,0.0000662,0.00008
1,0.0000529,0.00008
1,0.0000401,0.00008
1,0.0000223,0.00008
