dT,cDA,Pl,Php,Pb,Pimp,Ppv,Pwind,Phid,RealHour
1,0.0403,6.368894297,0,0,0,0,0,0,18
1,0.0331,5.890904219,0,0,0,0,0,0,19
1,0.0229,6.372252578,0,0,0,0,0,0,20
1,0.02,7.077940859,0,0,0,0,0,0,21
1,0.0142,6.570292387,0,0,0,0,0,0,22
1,0.0142,7.303858516,0,0,0,0,0,0,23
1,0.0218,6.707639922,0,0,0,0,0,0,24
1,0.0458,8.467652969,0,0,0,0,0,0,1
1,0.0656,13.8363418,0,0,0,0,0,0,2
1,0.0624,23.11383328,0,0,0,0,0,0,3
1,0.0499,24.46120891,0,0,0,0,0,0,4
1,0.0402,23.86542891,0,0,0,0,0,0,5
1,0.0324,22.10066508,0,0,0,0,0,0,6
1,0.0302,18.8566525,0,0,0,0,0,0,7
1,0.026,20.62297758,0,0,0,0,0,0,8
1,0.03,22.49034453,0,0,0,0,0,0,9
1,0.045,17.58551359,0,0,0,0,0,0,10
1,0.0617,12.20012875,0,0,0,0,0,0,11
1,0.0771,8.754602266,0,0,0,0,0,0,12
1,0.0797,7.255518281,0,0,0,0,0,0,13
1,0.0662,7.483499219,0,0,0,0,0,0,14
1,0.0529,7.391905234,0,0,0,0,0,0,15
1,0.0401,7.688276875,0,0,0,0,0,0,16
1,0.0223,7.263848672,0,0,0,0,0,0,17
